CostGrid statement,2026-09
Generated,2026-09-17T15:21:07.218Z
Status,month to date

section,item,calls,cost_usd,share_pct,previous_cost_usd,change_pct
total,all spend,343,16.095500,100.0,11.041500,45.8
department,Support,181,8.383000,52.1,5.568000,50.6
department,Engineering,120,5.808000,36.1,4.176000,39.1
department,Marketing,26,1.309000,8.1,0.870000,50.5
department,Unassigned,15,0.595500,3.7,0.427500,39.3
agent,chat-bot,60,5.380000,33.4,3.480000,54.6
agent,code-review,30,3.630000,22.6,2.610000,39.1
agent,ticket-triage,121,3.003000,18.7,2.088000,43.8
agent,lint-bot,90,2.178000,13.5,1.566000,39.1
agent,docs-writer,26,1.309000,8.1,0.870000,50.5
agent,unattributed,15,0.595500,3.7,0.427500,39.3
model,claude-opus-5,74,8.866000,55.1,6.090000,45.6
model,claude-haiku-4-5,228,5.424000,33.7,3.654000,48.4
model,claude-sonnet-5,25,1.210000,7.5,0.870000,39.1
model,gpt-5,15,0.595500,3.7,0.427500,39.3
saving,realised by auto-routing,18,1.620000,,,

budget,scope,window,action,limit_usd,actual_usd,used_pct,days_over
"monthly budget, fallback claude-haiku-4-5",whole account,month,block,40.000000,16.095500,40.2,
daily cap,dept:Support,day,warn,1.500000,0.863000,57.5,0
